Station,Fietsen,Datumtijd
's-Hertogenbosch Oost,7.0,2022-10-24 02:49:42.090082+02:00
't Harde,5.0,2022-10-24 02:49:42.090082+02:00
Aalten,3.0,2022-10-24 02:49:42.090082+02:00
Alkmaar,124.0,2022-10-24 02:49:42.090082+02:00
Alkmaar Noord,30.0,2022-10-24 02:49:42.090082+02:00
Almelo,21.0,2022-10-24 02:49:42.090082+02:00
Almere Centrum,,2022-10-24 02:49:42.090082+02:00
Almere Centrum Landdrostdreef,68.0,2022-10-24 02:49:42.090082+02:00
Alphen aan den Rijn,42.0,2022-10-24 02:49:42.090082+02:00
Amersfoort Centraal,274.0,2022-10-24 02:49:42.090082+02:00
Amersfoort Mondriaanplein,48.0,2022-10-24 02:49:42.090082+02:00
Amersfoort Schothorst,27.0,2022-10-24 02:49:42.090082+02:00
Amersfoort Vathorst,4.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Amstel,110.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Bijlmer ArenA,11.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Centraal IJzijde,57.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Centraal Oost,47.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Centraal West,506.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Lelyplein,4.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Muiderpoort,38.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Noord,10.0,2022-10-24 02:49:42.090082+02:00
Amsterdam RAI,24.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Sloterdijk,96.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Zuid Mahlerplein,29.0,2022-10-24 02:49:42.090082+02:00
Amsterdam Zuid Zuidplein,87.0,2022-10-24 02:49:42.090082+02:00
Anna Paulowna,1.0,2022-10-24 02:49:42.090082+02:00
Apeldoorn,273.0,2022-10-24 02:49:42.090082+02:00
Appingedam,1.0,2022-10-24 02:49:42.090082+02:00
Arnhem Centrum,277.0,2022-10-24 02:49:42.090082+02:00
Assen,139.0,2022-10-24 02:49:42.090082+02:00
Baarn,30.0,2022-10-24 02:49:42.090082+02:00
Barendrecht,25.0,2022-10-24 02:49:42.090082+02:00
Barneveld Centrum,3.0,2022-10-24 02:49:42.090082+02:00
Barneveld Noord,5.0,2022-10-24 02:49:42.090082+02:00
Beesd,5.0,2022-10-24 02:49:42.090082+02:00
Beilen,18.0,2022-10-24 02:49:42.090082+02:00
Bergen op Zoom,23.0,2022-10-24 02:49:42.090082+02:00
Best,27.0,2022-10-24 02:49:42.090082+02:00
Beverwijk,41.0,2022-10-24 02:49:42.090082+02:00
Bilthoven,26.0,2022-10-24 02:49:42.090082+02:00
Bloemendaal,4.0,2022-10-24 02:49:42.090082+02:00
Bodegraven,6.0,2022-10-24 02:49:42.090082+02:00
Borne,5.0,2022-10-24 02:49:42.090082+02:00
Boskoop,4.0,2022-10-24 02:49:42.090082+02:00
Bovenkarspel-Grootebroek,2.0,2022-10-24 02:49:42.090082+02:00
Boxmeer,14.0,2022-10-24 02:49:42.090082+02:00
Boxtel,18.0,2022-10-24 02:49:42.090082+02:00
Boxtel - Kluis,10.0,2022-10-24 02:49:42.090082+02:00
Breda Belcrum,210.0,2022-10-24 02:49:42.090082+02:00
Breda Centrum,115.0,2022-10-24 02:49:42.090082+02:00
Breda Prinsenbeek,3.0,2022-10-24 02:49:42.090082+02:00
Breukelen,3.0,2022-10-24 02:49:42.090082+02:00
Brummen,5.0,2022-10-24 02:49:42.090082+02:00
Bunnik,18.0,2022-10-24 02:49:42.090082+02:00
Bussum Zuid,4.0,2022-10-24 02:49:42.090082+02:00
Castricum,51.0,2022-10-24 02:49:42.090082+02:00
Cuijk,16.0,2022-10-24 02:49:42.090082+02:00
Culemborg,14.0,2022-10-24 02:49:42.090082+02:00
Dalfsen,1.0,2022-10-24 02:49:42.090082+02:00
Delden,3.0,2022-10-24 02:49:42.090082+02:00
"Delft, Fietsenstalling",240.0,2022-10-24 02:49:42.090082+02:00
Delfzijl,3.0,2022-10-24 02:49:42.090082+02:00
Den Dolder,5.0,2022-10-24 02:49:42.090082+02:00
Den Haag Centraal Koningin Julianaplein,748.0,2022-10-24 02:49:42.090082+02:00
Den Haag Centraal Stichthage,105.0,2022-10-24 02:49:42.090082+02:00
Den Haag HS,57.0,2022-10-24 02:49:42.090082+02:00
Den Haag Laan van NOI,3.0,2022-10-24 02:49:42.090082+02:00
Den Haag Mariahoeve,1.0,2022-10-24 02:49:42.090082+02:00
Den Helder,25.0,2022-10-24 02:49:42.090082+02:00
Den Helder Zuid,5.0,2022-10-24 02:49:42.090082+02:00
Deurne,3.0,2022-10-24 02:49:42.090082+02:00
Deventer,110.0,2022-10-24 02:49:42.090082+02:00
Deventer Boerhavelaan,21.0,2022-10-24 02:49:42.090082+02:00
Didam,3.0,2022-10-24 02:49:42.090082+02:00
Diemen,,2022-10-24 02:49:42.090082+02:00
Diemen Zuid,1.0,2022-10-24 02:49:42.090082+02:00
Dieren,,2022-10-24 02:49:42.090082+02:00
Doetinchem,4.0,2022-10-24 02:49:42.090082+02:00
Doetinchem de Huet,3.0,2022-10-24 02:49:42.090082+02:00
Dordrecht,36.0,2022-10-24 02:49:42.090082+02:00
Driebergen-Zeist,114.0,2022-10-24 02:49:42.090082+02:00
Driehuis,5.0,2022-10-24 02:49:42.090082+02:00
Dronten,6.0,2022-10-24 02:49:42.090082+02:00
Duiven ,3.0,2022-10-24 02:49:42.090082+02:00
Duivendrecht,,2022-10-24 02:49:42.090082+02:00
Echt,6.0,2022-10-24 02:49:42.090082+02:00
Ede-Wageningen Zuidplein,26.0,2022-10-24 02:49:42.090082+02:00
Ede-Wageningen Zuidzijde,161.0,2022-10-24 02:49:42.090082+02:00
Eindhoven Beukenlaan,,2022-10-24 02:49:42.090082+02:00
Eindhoven Noordzijde,86.0,2022-10-24 02:49:42.090082+02:00
Eindhoven Zuidzijde (centrum),147.0,2022-10-24 02:49:42.090082+02:00
Elst,6.0,2022-10-24 02:49:42.090082+02:00
Emmen,31.0,2022-10-24 02:49:42.090082+02:00
Enkhuizen,19.0,2022-10-24 02:49:42.090082+02:00
Enschede,48.0,2022-10-24 02:49:42.090082+02:00
Ermelo,3.0,2022-10-24 02:49:42.090082+02:00
Etten-Leur,6.0,2022-10-24 02:49:42.090082+02:00
